,input_image,normal_image
0,24c7496c-d7635dfe-b8e0b87f-d818affc-78ff7cf4.jpg,36e73bcc-02a0174c-03d21a60-e442afe0-56a047d1.jpg
1,78711a04-264d5305-d5feec9b-ebef1cec-fdc6db9c.jpg,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189.jpg
2,a770d8d6-7b6a62ff-815ab876-c81709a8-9a654a54.jpg,d940e7a9-559c248c-f6e05216-82a4fae8-7e84c087.jpg
3,8e457921-bc1af8aa-a65073c1-aaac8247-c5ceb780.jpg,21869e09-d73eea62-035063f1-2f271005-4eb55eba.jpg
4,62fe5d5a-1806ee3c-f4e742fa-f2b036ea-d390057a.jpg,0e923b0b-93746811-3ffa73b1-9baabf54-6b16de2a.jpg
5,64beda42-873c8a44-3d9d3073-33372d32-dee84707.jpg,5cd3cbd7-429b709c-f6c57959-b3923547-44cd4b4f.jpg
6,748991dc-fb330cd1-fc203d00-b89b5ccb-7995b475.jpg,36e73bcc-02a0174c-03d21a60-e442afe0-56a047d1.jpg
7,e5d1f575-e201925f-3d0faf91-7c8d8e98-b2550d52.jpg,abe1f3a4-f278b503-e69bc893-f782f274-739dd90d.jpg
8,f0266425-1de60bab-cabee003-da9aa11e-49a31ace.jpg,a833f67f-0aec71bc-23cee40a-3b88ba18-f3193578.jpg
9,6ff76a0c-49246bc5-a7c149d1-59dc38d9-c11b7ec7.jpg,3c054e93-1b8ae453-69d85a19-3a5a3a3d-bf7f67c2.jpg
10,a98992a8-76848c0d-bfe0b4a0-d4e1b76d-85014951.jpg,655ca63b-91739e04-2121ab41-bb8734f9-d8fcd64b.jpg
11,d978970a-5331f2f1-940f4bea-9da9bbf3-4724f2cf.jpg,91e08b73-04b55312-fd8a9d6f-bedbcc79-38d8ab4f.jpg
12,310ed1a6-ee306bc9-07d8d696-d5e3caa3-37749a62.jpg,36e73bcc-02a0174c-03d21a60-e442afe0-56a047d1.jpg
13,689f0cd0-ee982281-95438dd2-a6b493b7-d50387b7.jpg,47ea6acd-8b407807-eecf4cc6-6e25e9e6-c86a0966.jpg
14,16f5aeaf-af11419f-546aee0b-057c73aa-0b8059e5.jpg,a06609d8-57f41c76-af85d92f-93c2b1de-217c4189.jpg
15,bfab2672-a24df0b6-c212efa4-c56b045e-3d632a6f.jpg,6751667f-ec576bc3-8e7e44c5-00e2374d-64a3bdf7.jpg
16,423ee43d-f6a9c3da-8a9123bb-8ed0b71c-d1a8307a.jpg,d786c62a-9d755267-69451c61-4e7ed654-fcb8a593.jpg
17,826178de-61e5f340-cd1a808b-301b85ff-22320d04.jpg,9a177679-9e809e56-552b0650-230b9dc0-ee2f5a9c.jpg
18,5fd035ac-723fbf8a-77e59450-caf8e9e0-47cc2d15.jpg,5f1ac54d-47dfae00-930fa704-514131fa-ee0c138e.jpg
19,edc60628-709804d5-57432799-f6d8d8e0-29acc87a.jpg,656b41f9-18687963-60edfd15-9f485798-03dcba10.jpg
20,9e0f43ce-e271210d-7c523831-4e0f048f-d24c9791.jpg,fdec7e65-a00757e3-4872655f-ee15457b-8da7f362.jpg
21,b8bb81ee-9c483dcc-f098b7ee-b6d322c2-fc0acafa.jpg,3326486a-4764e6da-90203714-6ba258a6-cb0987b3.jpg
22,48ea8677-1efbb0d6-ea18ca14-7e666899-5dc4d590.jpg,1c3423ed-6d239fd6-89e1aa2f-241bafb6-ca9def0d.jpg
23,434c6923-7fd109e9-4b3f4c2c-ef699856-449423a0.jpg,38ee9d84-10a38e82-51c33838-2527312a-b4042f34.jpg
24,e038209a-7037db66-3c05d8f0-873464e5-88e341cc.jpg,82a718dc-cca0364e-f43f99d8-1a3e42d5-c70540f8.jpg
25,90d1995f-04a93c24-2411cc2a-826a47b7-4e46726a.jpg,85a3f448-19491fce-f77ce1d9-903c960a-5a0a7f22.jpg
26,a439aa5a-bb7de25c-957b50e6-84b63133-744396b1.jpg,e16a9d5c-17801488-28ba11c8-a5e364a8-89c4518d.jpg
27,b218eb2f-6320579e-d252bc64-600f711f-ec4a3b0f.jpg,0dda5129-7c030387-3c83d925-fae90635-d2f2c42f.jpg
28,e3133817-7148e980-56de28e7-f009c792-a69f8592.jpg,14dcc1c0-16905483-05682973-aad8efcd-0304cc8f.jpg
29,12d44b9c-023c1c95-9ed6fc07-ca424c43-294fea29.jpg,47ea6acd-8b407807-eecf4cc6-6e25e9e6-c86a0966.jpg
30,05af2f67-a2b15808-de7dbcbb-2f89d568-7625fb4c.jpg,36e73bcc-02a0174c-03d21a60-e442afe0-56a047d1.jpg
31,87656c5f-45ca946e-301450c2-2df8bc26-57f13466.jpg,dd5a9458-bbfe3f07-6770e519-029aac4e-cdfb9988.jpg
32,7bd804a4-a4e1578c-9d52b98a-8f5fc53a-52448578.jpg,44b4f0d3-707daaa7-d4bf3715-2fc7d150-d097d68b.jpg
33,300c371a-1deea810-8bcad6a8-d5fb19b3-1ae4b216.jpg,6a662d77-487926b8-281db3bd-435c728a-23e3affa.jpg
34,cb4cba12-f6033f8c-7f26f63f-5944238a-77d453fe.jpg,25c690a5-88479e74-825db19c-64bc889f-ad878087.jpg
35,53ba5a31-2d6bda0a-abb7ad77-065a0f20-b4fa6b44.jpg,6751667f-ec576bc3-8e7e44c5-00e2374d-64a3bdf7.jpg
36,563b4fb8-f47e2609-e2619e81-cbb68278-ff457903.jpg,d940e7a9-559c248c-f6e05216-82a4fae8-7e84c087.jpg
37,d18c2121-5b01211d-80b23963-bbd7968f-c845487b.jpg,f5ec6f82-a3511524-68a119e7-c0a22dae-b5cab5cc.jpg
38,d800100e-3c9881c1-749eb770-e1011921-222f1146.jpg,47ea6acd-8b407807-eecf4cc6-6e25e9e6-c86a0966.jpg
39,4f7398d9-c6deb83c-03ffaffc-a69cc0c7-b59ad58f.jpg,0dffdd22-00995c85-4bbe2edb-1e3a112e-52f8a33f.jpg
40,b1590452-531b270b-8d9d901a-2a7ef0dc-f9c86bcc.jpg,2c0bda8e-01c9d161-900d83c8-0a4c5583-e268a9b7.jpg
41,4a34ac5c-23be6056-8dcd2cb2-7ec239e8-876460ff.jpg,55ce5a68-2dc2cd92-461fd2ba-b13ffc86-ec1e8d1c.jpg
42,c16e7d5d-3bc8325f-20b37195-05637979-a5992ffc.jpg,47ea6acd-8b407807-eecf4cc6-6e25e9e6-c86a0966.jpg
43,7b575831-0efcca02-fbd398fd-75bee4e9-dd6de8e2.jpg,47ea6acd-8b407807-eecf4cc6-6e25e9e6-c86a0966.jpg
44,bf4d4e01-737a6f24-1de21a99-56727f12-9459b4e5.jpg,06a48361-9970c39e-e856216d-8ec297ff-07e62df1.jpg
45,1a9b3b82-402d9e19-445679da-a0accb94-ebc21d66.jpg,36e73bcc-02a0174c-03d21a60-e442afe0-56a047d1.jpg
46,0c1c6a70-a96f5b27-5d042944-6b49b3b3-fd6a8293.jpg,e447798a-2d1af294-0d11e3ab-35286508-85dcf1c4.jpg
47,74ebeb28-f0b77333-d4f66e5b-c2aaf97b-92cba2b5.jpg,6751667f-ec576bc3-8e7e44c5-00e2374d-64a3bdf7.jpg
